0.924,0.773,0.817,0.682,0.295
0.998,0.912,0.933,0.696,0.331
0.985,0.933,0.855,0.714,0.317
1.022,0.965,0.89,0.719,0.31
1.012,0.937,0.674,0.721,0.313
1.004,0.946,0.957,0.722,0.321
1,0.958,0.962,0.686,0.343
0.992,0.965,0.961,0.72,0.347
1.017,0.942,0.955,0.697,0.319
0.995,0.99,0.766,0.72,0.317
1.022,0.993,0.916,0.652,0.309
1.003,0.993,0.753,0.708,0.311
0.997833333,0.94225,0.869916667,0.703083333,0.319416667
0.026048323,0.059085647,0.097224631,0.021491894,0.014681208
