0.942,0.888,0.607,0.697,0.301
0.948,0.893,0.876,0.604,0.321932866
0.941,0.894,0.88,0.718,0.406906839
0.938,0.905,0.865,0.721,0.426628406
0.944,0.912,0.891,0.722,0.520409451
0.933,0.916,0.909,0.723,0.44617516
0.928,0.913,0.904,0.723,0.434024155
0.88,0.92,0.872,0.722,0.361120721
0.914,0.928,0.923,0.57,0.351532551
0.927,0.92,0.75,0.695,0.291989026
0.942,0.924,0.883,0.72,0.280115923
0.953,0.925,0.879,0.721,0.358914957
0.9325,0.9115,0.85325,0.694666667,0.375062505
0.019598237,0.013554603,0.088699826,0.051734169,0.072966474
