0.000025,0.000039,0.000043,0.000039,0.000041,0.000007,0.000088,0.00002,0.000307,0.000277,0.000018,0.001011
0.000012,0.000021,0.000028,0.000032,0.000066,0.000062,0.00005,0.00004,0.000031,0.000059,0.000072,0.001345
0.000014,0.00003,0.000046,0.000026,0.000034,0.000041,0.000069,0.000095,0.00014,0.000144,0.000204,0.00028
0.000019,0.000031,0.000047,0.000058,0.000081,0.000117,0.000193,0.000271,0.000372,0.000538,0.000709,0.000976
0.000043,0.000076,0.000087,0.000121,0.000196,0.000244,0.000436,0.000604,0.000787,0.000929,0.001304,0.001769

0.000021,0.000036,0.000041,0.000038,0.000042,0.000009,0.000089,0.000015,0.000307,0.000275,0.000017,0.001004
0.000008,0.000021,0.000021,0.000032,0.000059,0.000066,0.000045,0.000041,0.00003,0.00006,0.000071,0.001348
0.000014,0.000025,0.000045,0.000023,0.000032,0.000037,0.000061,0.000089,0.000138,0.000142,0.000207,0.000279
0.000017,0.000034,0.000044,0.000055,0.000077,0.000112,0.00019,0.00027,0.00037,0.000537,0.000711,0.000974
0.000041,0.000072,0.000091,0.000121,0.000197,0.000243,0.000435,0.000606,0.000783,0.000928,0.001303,0.001767

0.00002,0.000032,0.00004,0.000034,0.000037,0.000003,0.000086,0.000017,0.000301,0.000271,0.000011,0.00101
0.000014,0.000018,0.000025,0.000031,0.000064,0.000064,0.000045,0.000034,0.000032,0.000056,0.000072,0.001349
0.000009,0.000024,0.000048,0.000026,0.000029,0.000043,0.000062,0.00009,0.000134,0.000147,0.000204,0.000274
0.000014,0.000031,0.000042,0.000055,0.000081,0.000115,0.00019,0.000272,0.000372,0.000532,0.000703,0.000975
0.000043,0.000073,0.000088,0.000122,0.00019,0.000245,0.000432,0.0006,0.000782,0.000927,0.001309,0.001769

0.000027,0.00004,0.000051,0.000046,0.00005,0.000023,0.000093,0.000032,0.000323,0.000287,0.000028,0.001019
0.000027,0.000025,0.000034,0.000038,0.000072,0.000078,0.000065,0.000047,0.000037,0.000065,0.000089,0.001358
0.000017,0.000041,0.00005,0.000031,0.000036,0.000054,0.000069,0.000102,0.000152,0.000156,0.00021,0.000284
0.000024,0.00004,0.00006,0.000067,0.00009,0.000122,0.000194,0.000282,0.000392,0.000544,0.000726,0.000981
0.000052,0.000086,0.000093,0.000137,0.000211,0.000262,0.000441,0.000614,0.000787,0.000937,0.001321,0.001784

0.000027,0.000043,0.000045,0.000045,0.000049,0.000012,0.000094,0.000023,0.000314,0.00028,0.00002,0.001013
0.000017,0.000026,0.000033,0.000035,0.00007,0.000071,0.000053,0.000044,0.000036,0.000065,0.000075,0.001354
0.00002,0.000034,0.000049,0.00003,0.000036,0.000049,0.000072,0.000099,0.000143,0.00015,0.00021,0.000283
0.000024,0.000037,0.000054,0.000059,0.000085,0.000119,0.000199,0.000274,0.000381,0.000539,0.000713,0.000983
0.000049,0.000078,0.000094,0.000127,0.000202,0.00025,0.000442,0.000609,0.000788,0.000932,0.001311,0.001774
